"Statistical unit","Unit of measure","Level of education","Orientation","Sex","Age","Grade","Type of institution","Level of educational attainment","School subject","Wealth quintile","Infrastructure","Location","Type of education","Socioeconomic background","Source of funding","Funding flow","Reference area","Time Period","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"STU:Students","PT:Percentage","L1:Primary education","_T:Total","F:Female","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L1:_T:F:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","12.53109","12.65097","10.49251","9.29434","8.59275","10.59798","","6.09166","5.98296","6.14529",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1_2:Primary and lower secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","7.62942","9.44528","7.64139","7.57416","7.95377","7.29459","7.01017","7.64262","8.60497","11.31513",""
"QUTP:Percentage of qualified teachers","PT:Percentage","L4:Post-secondary non-tertiary education","_T:Total","F:Female","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","QUTP:PT:L4:_T:F:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","0","0","",""
"CR:Completion rate","GPI:Gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","1.21982","1.20221","1.21799","1.20327","1.15272","1.14419","1.14954","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","1.08717","1.09693","1.12067","1.10109","1.09208","1.06755","1.06182","","","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","18.42000","18.85000","19.02000","18.17000","18.19000","17.49000","19.12000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","86.23000","87.63000","88.10000","90.03000","90.94000","92.19000","92.69000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","93.69000","95.40000","95.30000","94.63000","96.60000","95.85000","95.87000","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1T3:Primary and secondary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1T3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","13.64184","14.45615","12.63326","12.46586","12.28219","11.05124","10.78499","12.36501","12.71614","15.31809",""
"AIR:Gross intake ratio","GPI:Gender parity index","L2:Lower secondary education","C4:General programmes","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:GPI:L2:C4:_T:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","1.16961","1.13565","1.14163","1.15505","1.13947","1.12500","1.13519","1.12873","1.12656","1.12465",""
